,Región,Consumo de combustible (combinado),Ciudad,Kilometraje,Color Exterior,Transmisión,Vehículo,Combustible,Anho,Precio,Puertas,Litros (motor),Cilindros,Pasajeros
34,Metropolitana de Santiago,0 km/l,Santiago,25.000 kms,AZUL ,automático,2014 Subaru LEGACY 2.0I 4P CVT XS 4WD,Bencina,2014,$ 3.450.000,4,2.0,4,5
35,Valparaíso,0 km/l,San Felipe,108.000 kms,,automático,2009 Subaru LEGACY 2.0R 4D Auto AWD 3Q,Bencina,2009,$ 5.800.000,4,2,4,5
36,Metropolitana de Santiago, km/l,Peñaflor,123.000 kms,,automático,2005 Subaru LEGACY 3.0R AWD,Bencina,2005,$ 4.700.000,0,,,
37,OHiggins, km/l,Nancagua,,,manual,1995 Subaru LEGACY gl,Bencina,1995,$ 2.450.000,4,,,
38,Metropolitana de Santiago,0 km/l,Santiago,90.000 kms,,automático,2008 Subaru LEGACY 3.0R 4D 5AUTO AWD 3M,Bencina,2008,$ 2.500.000,4,3,6,5
39,Metropolitana de Santiago,0 km/l,Santiago,195.000 kms,azul,automático,2009 Subaru LEGACY 2.0R 4D AUTO AWD U,Bencina,2009,$ 4.650.000,4,2,4,5
40,Araucanía,0 km/l,Temuco,137.000 kms,Beige,automático,2009 Subaru LEGACY 2.5I Auto 3S Limited,Bencina,2009,$ 6.290.000,4,2.5,4,5
41,Metropolitana de Santiago, km/l,Santiago,243.000 kms,Verde Grisaseo,automático,1995 Subaru LEGACY GL,Bencina,1995,$ 1.500.000,4,,,
42,OHiggins,"12,3 km/l",Rancagua,90.000 kms,gris grafito,automático,2012 Subaru LEGACY 2.0I 4P AWD CVT XS,Bencina,2012,$ 7.800.000,4,2.0,4,5
43,OHiggins,0 km/l,Rancagua,136.000 kms,,automático,2009 Subaru LEGACY 2.5I Auto 3S Limited,Bencina,2009,$ 6.300.000,4,2.5,4,5
44,Maule,0 km/l,Cauquenes,200.000 kms,,manual,1999 Subaru LEGACY 2.0 AWD GE,Bencina,1999,$ 2.900.000,4,2,4,5
45,Valparaíso,0 km/l,Valparaiso,189.000 kms,,manual,1999 Subaru LEGACY 2.0 AWD GE,Bencina,1999,$ 3.200.000,4,2,4,5
46,Metropolitana de Santiago, km/l,Buin,180.000 kms,,manual,2004 Subaru LEGACY 2.0 4WD AT XA,Bencina,2004,$ 3.890.000,4,,,
47,Valparaíso,0 km/l,Viña del Mar,240 kms,,automático,2005 Subaru LEGACY 2.0 TW 4WD AT XA,Bencina,2005,$ 3.600.000,5,2,4,5
48,Valparaíso, km/l,Quilpue,100.000 kms,GRIS OSCURO,automático,2014 Subaru LEGACY 2.0I 4P CVT XS 4WD,Bencina,2014,$ 8.200.000,4,,,
49,Bío Bío, km/l,Concepcion,117.000 kms,,automático,2009 Subaru LEGACY 2.5I AUTO 3S LIMITED,Bencina,2009,$ 6.000.000,4,,,
50,Metropolitana de Santiago, km/l,Santiago,107.000 kms,Plateado Acero,automático,2011 Subaru NEW LEGACY Station Wagon,Bencina,2011,$ 6.900.000,5,,,
51,Metropolitana de Santiago, km/l,Santiago,155.000 kms,Blanco,automático,2008 Subaru LEGACY 2.0R 4D AUTO AWD XX,Bencina,2008,$ 5.400.000,4,,,
52,Metropolitana de Santiago,"12,3 km/l",Santiago,45.000 kms,Verde grisaceo metal,automático,2013 Subaru LEGACY 2.0I 4P CVT XS 4WD,Bencina,2013,$ 8.290.000,4,2.0,4,5
53,Metropolitana de Santiago, km/l,Santiago,14.541 kms,PLATEADO,automático,2017 Subaru LEGACY 2.5I ALL NEW LEGACY AWD AUT,Bencina,2017,$ 15.700.000,5,,,
54,Araucanía,12 km/l,Temuco,60.320 kms,GRIS OSCURO,automático,2015 Subaru LEGACY 2.5I 4D CVT X-Edition 4WD,Bencina,2015,$ 12.990.000,4,2.5,4,5
55,Metropolitana de Santiago,0 km/l,Santiago,20.000 kms,PLATEADO,automático,2004 Subaru LEGACY 2.0 4WD AT UZ,Bencina,2004,$ 3.000.000,4,2,4,5
56,Metropolitana de Santiago, km/l,Santiago,120.874 kms,Azul,automático,2012 Subaru LEGACY 2.5I 4D AWD CVT Limited,Bencina,2012,$ 6.990.000,4,,,
57,Metropolitana de Santiago, km/l,Santiago,195.000 kms,Gris,automático,1998 Subaru LEGACY 2.0 GL AWD,Bencina,1998,$ 2.150.000,5,,,
58,Metropolitana de Santiago, km/l,Santiago,190.000 kms,Verde,manual,1999 Subaru LEGACY 2.0 GL,Bencina,1999,$ 2.200.000,5,,,
59,Metropolitana de Santiago,0 km/l,Santiago,250.000 kms,verde mica,automático,1998 Subaru LEGACY 2.0 GL AUTO,Bencina,1998,$ 2.150.000,4,2,4,5
60,Metropolitana de Santiago, km/l,Santiago,123.000 kms,Gris,manual,2005 Subaru LEGACY 3.0 spec b mecanico,Bencina,2005,$ 5.980.000,4,,,
61,Valparaíso, km/l,Viña del Mar,200.000 kms,Gris,manual,1992 Subaru LEGACY GLX 1.6,Bencina,1992,$ 980.000,4,,,
62,OHiggins, km/l,Peumo,,Gris,manual,1990 Subaru LEGACY Legacy,Bencina,1990,$ 950.000,5,,,
63,Valparaíso, km/l,Viña del Mar,105.000 kms,,manual,2007 Subaru LEGACY 2.0r,Bencina,2007,$ 4.600.000,5,,,
64,Araucanía, km/l,Villarrica,288.000 kms,azul mica,automático,1995 Subaru LEGACY glx 2.0 4x4.,Bencina,1995,$ 1.200.000,5,,,
65,Metropolitana de Santiago,0 km/l,Santiago,26.000 kms,Blanco,automático,2017 Subaru LEGACY 2.5I CVT Auto Premium 4WD,Bencina,2017,$ 15.600.000,4,2.5,4,5
66,Metropolitana de Santiago,"9,4 km/l",Santiago,98.000 kms,PLATA,automático,2011 Subaru LEGACY 2.5GT 4P AWD Auto SI Drive,Bencina,2011,$ 7.250.000,4,2.5,4,5
67,Bío Bío, km/l,Concepcion,86.500 kms,,manual,2008 Subaru LEGACY 2.0R TW AWD XX,Bencina,2008,$ 5.800.000,4,,,
68,Metropolitana de Santiago, km/l,Santiago,81.000 kms,Grafito ,automático,2011 Subaru LEGACY LIMITED 2.5 4X4 UNICO DUENO MA,Bencina,2011,$ 7.480.000,4,,,
69,Araucanía,0 km/l,Angol,196 kms,,automático,2008 Subaru LEGACY 2.0R 4D AUTO AWD XX,Bencina,2008,$ 5.000.000,4,2,4,5
70,Metropolitana de Santiago, km/l,Santiago,66.482 kms,GRIS OSCURO METALICO,manual,2016 Subaru LEGACY 2.5I CVT Limited 4WD,Bencina,2016,$ 3.600.000,0,,,
71,Metropolitana de Santiago, km/l,Santiago,78.180 kms,PLATEADO HIELO CLARO,manual,2016 Subaru LEGACY 2.5I CVT Limited 4WD,Bencina,2016,$ 3.600.000,4,,,
72,Metropolitana de Santiago, km/l,Santiago,94.188 kms,BLANCO CRISTAL PERLADO,manual,2016 Subaru LEGACY 2.5I CVT XS 4WD,Bencina,2016,$ 3.600.000,4,,,
73,Metropolitana de Santiago,0 km/l,Santiago,51.598 kms,Plateado,automático,2008 Subaru LEGACY 2.0R 4D AUTO AWD 3S,Bencina,2008,$ 5.790.000,4,2,4,5
74,Metropolitana de Santiago,12 km/l,Santiago,68.000 kms,AZUL,automático,2014 Subaru LEGACY 2.5I 4D CVT X-Edition 4WD,Bencina,2014,$ 12.450.000,4,2.5,4,5
75,Metropolitana de Santiago, km/l,Santiago,200.000 kms,,automático,1993 Subaru LEGACY 4wd2.2i,Bencina,1993,$ 1.450.000,5,,,
76,Metropolitana de Santiago,"12,3 km/l",Santiago,65.000 kms,GRAFITO,automático,2013 Subaru LEGACY 2.0I 4P CVT XS 4WD,Bencina,2013,$ 7.980.000,4,2.0,4,5
77,Metropolitana de Santiago,0 km/l,Santiago,94.000 kms,GRAFITO,automático,2007 Subaru LEGACY 2.0R 4D AT AWD 3L,Bencina,2007,$ 5.480.000,4,2,4,5
78,Metropolitana de Santiago,0 km/l,Santiago,228.688 kms,VERDE OSCURO,automático,1997 Subaru LEGACY 2.5 LSI,Bencina,1997,$ 1.980.000,5,2.5,4,5
79,Metropolitana de Santiago,0 km/l,Santiago,168.000 kms,AZUL MET,automático,2007 Subaru LEGACY 2.0R TW AT AWD UA,Bencina,2007,$ 3.990.000,5,2,4,5
80,Araucanía,0 km/l,Victoria,142.000 kms,,automático,2007 Subaru LEGACY 2.0R 4D AT AWD UA,Bencina,2007,$ 5.150.000,4,2,4,5
81,Los Lagos,0 km/l,Osorno,170.000 kms,GRIS,automático,2004 Subaru LEGACY 2.0 4WD AT XA,Bencina,2004,$ 3.800.000,4,2,4,5
82,Metropolitana de Santiago, km/l,Santiago,150.000 kms,Gris Grafito,automático,2010 Subaru LEGACY 2.5I 4D AWD CVT LIMITED,Bencina,2010,$ 7.500.000,4,,,
83,Metropolitana de Santiago, km/l,Santiago,147.900 kms,Verde Oscuro,automático,2004 Subaru LEGACY 2.0i 4D AWD AT XA,Bencina,2004,$ 3.500.000,4,,,
84,Metropolitana de Santiago, km/l,Pirque,,Blanco,manual,1993 Subaru LEGACY Station,Bencina,1993,$ 1.000.000,5,,,
85,Metropolitana de Santiago, km/l,Santiago,163.000 kms,Grafito,automático,2006 Subaru LEGACY AWD ,Bencina,2006,$ 4.390.000,4,,,
86,Valparaíso,0 km/l,Quilpue,,,manual,2001 Subaru LEGACY 2.0 AWD GE,Bencina,2001,$ 3.250.000,4,2,4,5
87,Metropolitana de Santiago, km/l,Santiago,93.000 kms,,automático,2012 Subaru LEGACY 2.0I 4P AWD CVT XS,Bencina,2012,$ 6.500.000,4,,,
88,Valparaíso,0 km/l,Viña del Mar,219.000 kms,BLANCO,automático,2000 Subaru LEGACY 2.0 AWD GX AUTO,Bencina,2000,$ 3.000.000,4,2,4,5
89,Metropolitana de Santiago,0 km/l,Santiago,124.000 kms,Blanco perlado,manual,2009 Subaru LEGACY 2.0R 4D AWD X,Bencina,2009,$ 5.200.000,4,2,4,5
90,Valparaíso, km/l,Viña del Mar,84.748 kms,Gris,automático,2014 Subaru LEGACY 2.5I 4D CVT X-Edition 4WD,Bencina,2014,$ 10.000.000,4,,,
91,Maule,0 km/l,Constitucion,,,automático,2002 Subaru LEGACY 2.0 AWD GT PA AUTO,Bencina,2002,$ 3.690.000,4,2,4,5
92,Metropolitana de Santiago,0 km/l,Santiago,148.500 kms,GRIS PLATA,manual,2000 Subaru LEGACY 2.0 AWD GE,Bencina,2000,$ 2.290.000,4,2,4,5
93,Metropolitana de Santiago, km/l,Santiago,200.880 kms,GRIS,manual,2007 Subaru LEGACY 2.0R 4D MT AWD XA,Bencina,2007,$ 4.500.000,4,,,
94,Metropolitana de Santiago,0 km/l,San Bernardo,250.000 kms,Beige,automático,2000 Subaru LEGACY 2.0 AWD GX AUTO,Bencina,2000,$ 2.890.000,4,2,4,5
95,Bío Bío,0 km/l,Concepcion,146.000 kms,gris,automático,2006 Subaru LEGACY 2.0 4WD AT UA,Bencina,2006,$ 4.200.000,4,2,4,5
96,Araucanía,0 km/l,Pitrufquén,80.000 kms,Negro,automático,2014 Subaru LEGACY 2.0I 4P CVT XS 4WD,Bencina,2014,$ 10.500.000,4,2.0,4,5
97,Metropolitana de Santiago,0 km/l,Santiago,,,automático,2016 Subaru LEGACY 2.5I CVT XS 4WD,Bencina,2016,$ 10.390.000,4,2.5,4,5
98,Maule,0 km/l,Curico,160.000 kms,,automático,2006 Subaru LEGACY 2.0 4WD AT UA,Bencina,2006,$ 4.500.000,4,2,4,5
99,Metropolitana de Santiago, km/l,Santiago,17.672 kms,GRIS OSCURO,automático,2015 Subaru LEGACY LTD AWD 2.5I AUT,Bencina,2015,$ 13.780.000,4,,,
100,Bío Bío, km/l,Bulnes,120.000 kms,Gris,automático,2008 Subaru LEGACY 2.0R 4D AWD XX,Bencina,2008,$ 5.100.000,4,,,
101,OHiggins,0 km/l,San Fernando,210.000 kms,,manual,1998 Subaru LEGACY 2.0 GL,Bencina,1998,$ 2.400.000,4,2,4,5
102,Maule, km/l,Talca,290.000 kms,BLANCO,automático,2002 Subaru LEGACY 2.0 AWD GT AT PA,Bencina,2002,$ 2.300.000,5,,,
103,Valparaíso, km/l,Viña del Mar,240.000 kms,Blanco,automático,2000 Subaru LEGACY IMPECABLE FULL AIRE LLANTAS,Bencina,2000,$ 2.945.000,4,,,
104,Araucanía, km/l,Temuco,81.803 kms,CELESTE,automático,2012 Subaru LEGACY ALL NEW LEGACY AWD 2.OI AUT.,Bencina,2012,$ 7.500.000,4,,,
105,Bío Bío,"12,3 km/l",Concepcion,139.000 kms,,automático,2011 Subaru LEGACY 2.0I 4P AWD CVT X,Bencina,2011,$ 6.290.000,4,2.0,4,5
106,Metropolitana de Santiago, km/l,Santiago,130.000 kms,GRIS ACERO,automático,2008 Subaru LEGACY 2.0 R AUTOMATICO AWD FULL EQUI,Bencina,2008,$ 4.990.000,4,,,
107,Metropolitana de Santiago,0 km/l,Santiago,93.000 kms,PLATEADO,automático,2010 Subaru LEGACY 2.0I 4P AWD CVT XS,Bencina,2010,$ 6.490.000,4,2,4,5
108,Metropolitana de Santiago,0 km/l,Chicureo,112.000 kms,Gris,automático,2010 Subaru LEGACY 2.5GT 4P AWD Auto SI Drive,Bencina,2010,$ 8.560.000,4,2.5,4,5
109,Metropolitana de Santiago,0 km/l,Melipilla,149.000 kms,Gris,automático,2010 Subaru LEGACY 2.0I 4P AWD CVT X,Bencina,2010,$ 6.000.000,4,2,4,5
110,Metropolitana de Santiago, km/l,Chicureo,190.000 kms,Gris urbano,automático,2007 Subaru LEGACY 2.0R sw awd full 165hp,Bencina,2007,$ 3.720.000,5,,,
111,Valparaíso,0 km/l,Viña del Mar,163.000 kms,Gris Opal,manual,1998 Subaru LEGACY 2.0 LX AWD,Bencina,1998,$ 2.100.000,5,2,4,5
112,Atacama, km/l,Copiapo,53.500 kms,Plateado acero,automático,2012 Subaru LEGACY 2.0i 4D AWD CVT XS FT,Bencina,2012,$ 7.500.000,4,,,
113,Metropolitana de Santiago, km/l,Santiago,16.000 kms,azul,automático,2016 Subaru LEGACY all new legacy awd,Bencina,2016,$ 15.000.000,5,,,
