,Pasajeros,Puertas,Kilometraje,Combustible,Transmisión,Anho,Región,Consumo de combustible (combinado),Precio,Litros (motor),Vehículo,Ciudad,Cilindros,Color Exterior
135,5,4,82.000 kms,Bencina,manual,2016,OHiggins,"14,4 km/l",$ 26.000.000,1.8,2016 Toyota COROLLA 1.8 GL,Pichilemu,4,
136,,5,188.000 kms,Bencina,manual,2009,Valparaíso, km/l,$ 4.600.000,,2009 Toyota COROLLA 1.6 XLI,San Felipe,,Gris
137,,5,,Bencina,manual,1996,Maule, km/l,$ 1.750.000,,1996 Toyota COROLLA Lei,Molina,,Azul
138,5,4,,Bencina,manual,2007,Metropolitana de Santiago,0 km/l,$ 3.550.000,1.6,2007 Toyota COROLLA 1.6 XLI MT,Santiago,4,Beige
139,5,4,117 kms,Bencina,manual,2008,Metropolitana de Santiago,0 km/l,$ 3.700.000,1.6,2008 Toyota COROLLA 1.6 XLI,Peñaflor,4,Blanco
140,5,4,124.000 kms,Bencina,manual,2007,Valparaíso,0 km/l,$ 4.300.000,1.8,2007 Toyota COROLLA 1.8 XEI MT,Valparaiso,4,Gris
141,,5,300.000 kms,Bencina,manual,1996,Bío Bío, km/l,$ 1.990.000,,1996 Toyota COROLLA Gli 1.6,Coihueco,,Rojo
142,5,4,209.000 kms,Bencina,manual,2008,OHiggins,0 km/l,$ 4.690.000,1.6,2008 Toyota COROLLA 1.6 XLI,San Fernando,4,GRIS OSCURO
143,,4,190.000 kms,Bencina,automático,1993,Metropolitana de Santiago, km/l,$ 1.100.000,,1993 Toyota COROLLA 1.8,Santiago,,Blanco
144,,3,201.200 kms,Bencina,automático,2005,Metropolitana de Santiago, km/l,$ 3.150.000,,2005 Toyota COROLLA 1.6 VVT-i Sport,Santiago,,
145,5,4,1.200 kms,Bencina,manual,2017,Metropolitana de Santiago,"14,4 km/l",$ 8.500.000,1.8,2017 Toyota COROLLA 1.8 LE,Bajos de San Agustín,4,Blanco
146,5,4,87.000 kms,Bencina,automático,2011,Bío Bío,0 km/l,$ 5.980.000,1.6,2011 Toyota COROLLA 1.6 GLI Auto,Concepcion,4,GRIS PLATA
147,,4,43.000 kms,Bencina,manual,2015,Metropolitana de Santiago, km/l,$ 8.350.000,,2015 Toyota COROLLA GL,Santiago,,PLATEADO SILVER
148,,5,101.169 kms,Bencina,manual,2008,OHiggins, km/l,$ 5.000.000,,2008 Toyota COROLLA 1.6 XLI,Rancagua,,Blanco
149,,4,60.000 kms,Bencina,automático,2014,Metropolitana de Santiago, km/l,$ 7.200.000,,2014 Toyota COROLLA 1.6 LEI Auto,Santiago,,BLANCO PERLADO
