,Consumo de combustible (combinado),Puertas,Kilometraje,Transmisión,Combustible,Cilindros,Pasajeros,Litros (motor),Ciudad,Precio,Vehículo,Anho,Color Exterior,Región
46,25 km/l,5,1 kms,manual,Diesel (petróleo),4,5,1.6,Santiago,$ 11.990.000,2016 Peugeot 2008 1.6 e-HDI 92 HP Allure,2016,Plateado,Metropolitana de Santiago
47,25 km/l,5,38.000 kms,manual,Diesel (petróleo),4,5,1.6,Santiago,$ 10.500.000,2015 Peugeot 2008 1.6 e-HDI 92 HP Allure,2015,GRIS SPIRIT,Metropolitana de Santiago
48, km/l,5,5.096 kms,manual,Bencina,,,,Valdivia,$ 11.090.000,2017 Peugeot 2008 ,2017,GRIS PLATINUM,Los Ríos
49, km/l,5,19.323 kms,manual,Diesel (petróleo),,,,Santiago,$ 11.480.000,2017 Peugeot 2008 1.6 BlueHDI 100 HP Manual Allu,2017,NEGRO,Metropolitana de Santiago
50,25 km/l,5,26.000 kms,manual,Diesel (petróleo),4,5,1.6,Santiago,$ 10.100.000,2015 Peugeot 2008 1.6 e-HDI 92 HP Active,2015,blanco,Metropolitana de Santiago
51, km/l,5,90.000 kms,automático,Diesel (petróleo),,,,Santiago,$ 9.990.000,2015 Peugeot 2008 1.6 e-HDI 92 HP Allure,2015,Plata,Metropolitana de Santiago
52, km/l,5,7.914 kms,automático,Bencina,,,,Santiago,$ 13.990.000,2018 Peugeot 2008 1.2 Puretech 110 HP ,2018,BLANCO,Metropolitana de Santiago
53, km/l,5,16.230 kms,automático,Bencina,,,,Santiago,$ 11.190.000,2016 Peugeot 2008 1.2 Puretech 110 Auto HP Allur,2016,Plateado,Metropolitana de Santiago
54,25 km/l,5,65.500 kms,manual,Diesel (petróleo),4,5,1.6,Santiago,$ 9.290.000,2014 Peugeot 2008 1.6 e-HDI 92 HP Premier,2014,Makaha,Metropolitana de Santiago
55,25 km/l,5,14.000 kms,manual,Diesel (petróleo),4,5,1.6,Antofagasta,$ 11.500.000,2016 Peugeot 2008 1.6 e-HDI 92 HP Active,2016,gris artense,Antofagasta
56, km/l,5,5.500 kms,automático,Bencina,,,,Santiago,$ 12.390.000,2017 Peugeot 2008 1.2 Puretech 110 HP Auto Allure Pack,2017,Blanco,Metropolitana de Santiago
57, km/l,5,45.000 kms,automático,Diesel (petróleo),,,,Santiago,$ 10.690.000,2015 Peugeot 2008 1.6 e-HDI 92 HP Allure CMP,2015,gris,Metropolitana de Santiago
58, km/l,5,83.033 kms,manual,Diesel (petróleo),,,,Santiago,$ 9.590.000,2015 Peugeot 2008 ALLURE 1.6 e HDI 92 HP,2015,GRIS,Metropolitana de Santiago
59, km/l,5,51.100 kms,manual,Diesel (petróleo),,,,Santiago,$ 10.300.000,2015 Peugeot 2008 1.6 e-HDI 92 HP Allure,2015,GRIS ARTENSE,Metropolitana de Santiago
60, km/l,5,113.000 kms,manual,Diesel (petróleo),,,,Santiago,$ 8.990.000,2014 Peugeot 2008 1.6 e-HDI 92 HP Allure,2014,BLANCO,Metropolitana de Santiago
61, km/l,5,52.000 kms,manual,Diesel (petróleo),,,,Chiloé - Ancud,$ 10.990.000,2015 Peugeot 2008 1.6 e-HDI 115 HP Feline,2015,blanco perlado,Los Lagos
62,25 km/l,5,27.000 kms,manual,Diesel (petróleo),4,5,1.6,Valparaiso,$ 10.900.000,2016 Peugeot 2008 1.6 e-HDI 92 HP Allure,2016,Blanco,Valparaíso
63, km/l,5,75.000 kms,manual,Diesel (petróleo),,,,Concepcion,$ 9.790.000,2015 Peugeot 2008 ALLURE E HDI 1.6,2015,BLANCO NACARADO,Bío Bío
64,25 km/l,5,59.000 kms,manual,Diesel (petróleo),4,5,1.6,Santiago,$ 11.300.000,2016 Peugeot 2008 1.6 e-HDI 92 HP Allure,2016,gris,Metropolitana de Santiago
65, km/l,5,44.800 kms,manual,Diesel (petróleo),,,,Santiago,$ 9.190.000,2016 Peugeot 2008 ACTIVE HDI 1.6,2016,GRIS ARTENSE,Metropolitana de Santiago
66,25 km/l,5,68.000 kms,manual,Diesel (petróleo),4,5,1.6,Chiguayante,$ 10.500.000,2014 Peugeot 2008 1.6 e-HDI 92 HP Allure,2014,gris,Bío Bío
67, km/l,5,27.000 kms,automático,Bencina,,,,San Bernardo,$ 11.990.000,2017 Peugeot 2008 1.2 Puretech 110 HP Auto Allure Pack,2017,Rojo,Metropolitana de Santiago
68,"25,1 km/l",5,17.200 kms,manual,Diesel (petróleo),4,5,1.6,Santiago,$ 12.000.000,2017 Peugeot 2008 1.6 BlueHDI 100 HP Manual Active Pack,2017,Blanco Perla,Metropolitana de Santiago
69, km/l,5,8.450 kms,automático,Bencina,,,,Chillán,$ 11.990.000,2018 Peugeot 2008 1.2 Puretech 110 HP Auto Allur,2018,BLANCO,Bío Bío
70, km/l,5,45.000 kms,manual,Diesel (petróleo),,,,Talca,$ 12.000.000,2017 Peugeot 2008 1.6 BlueHDI 100 HP Manual Allu,2017,BLANCO,Maule
71,25 km/l,5,125.000 kms,manual,Diesel (petróleo),4,5,1.6,Los Angeles,$ 10.000.000,2015 Peugeot 2008 1.6 e-HDI 92 HP Allure,2015,,Bío Bío
72,25 km/l,5,46.000 kms,manual,Diesel (petróleo),4,5,1.6,Ovalle,$ 10.000.000,2015 Peugeot 2008 1.6 e-HDI 92 HP Allure,2015,blanco,Coquimbo
73,25 km/l,5,19.000 kms,manual,Diesel (petróleo),4,5,1.6,Los Angeles,$ 10.800.000,2016 Peugeot 2008 1.6 e-HDI 92 HP Allure,2016,,Bío Bío
74,25 km/l,5,71.000 kms,manual,Diesel (petróleo),4,5,1.4,Santiago,$ 8.900.000,2014 Peugeot 2008 1.4 HDI 68 HP Active,2014,gris,Metropolitana de Santiago
75, km/l,5,6.727 kms,manual,Bencina,,,,Chillán,$ 11.090.000,2017 Peugeot 2008 ,2017,BLANCO NACARADO,Bío Bío
76, km/l,5,94.000 kms,automático,Diesel (petróleo),,,,Temuco,$ 10.990.000,2015 Peugeot 2008 1.6 e-HDI 92 HP Allure,2015,,Araucanía
77, km/l,5,11.700 kms,manual,Bencina,,,,Concepcion,$ 10.290.000,2016 Peugeot 2008 ,2016,GRIS ARTENSE,Bío Bío
78, km/l,5,33.800 kms,manual,Diesel (petróleo),,,,Osorno,$ 12.590.000,2017 Peugeot 2008 1.6 BlueHDI 100 HP Manual Allu,2017,BLANCO,Los Lagos
79, km/l,5,19.000 kms,manual,Diesel (petróleo),,,,Temuco,$ 12.500.000,2017 Peugeot 2008 1.6 BlueHDI 100 HP Manual Allure,2017,Gris,Araucanía
80, km/l,5,48.849 kms,automático,Bencina,,,,Santiago,$ 10.890.000,2016 Peugeot 2008 1.6 e-HDI 92 HP Allure,2016,GRIS,Metropolitana de Santiago
81, km/l,5,15.000 kms,manual,Diesel (petróleo),,,,Santiago,$ 11.500.000,2016 Peugeot 2008 1.6 e-HDI 92 HP Active,2016,,Metropolitana de Santiago
82, km/l,5,65.000 kms,manual,Diesel (petróleo),,,,Valparaiso,$ 10.200.000,2014 Peugeot 2008 1.6 e-HDI 92 HP Allure,2014,Blanco Perla,Valparaíso
83, km/l,5,4.800 kms,manual,Diesel (petróleo),,,,Quilpue,$ 11.990.000,2018 Peugeot 2008 1.6 BlueHDI 100 HP Manual Acti,2018,GRIS GRAFITO,Valparaíso
84, km/l,5,56.000 kms,manual,Diesel (petróleo),,,,Santiago,$ 9.500.000,2014 Peugeot 2008 1.4 HDI 68 HP Active,2014,Blanco,Metropolitana de Santiago
85, km/l,5,22.000 kms,manual,Diesel (petróleo),,,,Santiago,$ 10.000.000,2014 Peugeot 2008 1.6 e-HDI 92 HP Allure,2014,NEGRO,Metropolitana de Santiago
86,25 km/l,5,79.000 kms,manual,Diesel (petróleo),4,5,1.6,Temuco,$ 10.990.000,2016 Peugeot 2008 1.6 e-HDI 92 HP Allure,2016,GRAFITO,Araucanía
87,25 km/l,5,37.512 kms,manual,Diesel (petróleo),4,5,1.6,Santiago,$ 9.490.000,2015 Peugeot 2008 1.6 e-HDI 92 HP Active,2015,GRIS PLATINUM,Metropolitana de Santiago
88,25 km/l,5,88.000 kms,manual,Diesel (petróleo),4,5,1.6,Puerto Montt,$ 10.290.000,2016 Peugeot 2008 1.6 e-HDI 92 HP Active,2016,GRIS,Los Lagos
89,25 km/l,5,48.000 kms,manual,Diesel (petróleo),4,5,1.6,Santiago,$ 9.800.000,2016 Peugeot 2008 1.6 e-HDI 92 HP Allure,2016,Rojo tourmaline,Metropolitana de Santiago
90,"26,3 km/l",5,26.000 kms,manual,Diesel (petróleo),4,5,1.6,Santiago,$ 12.500.000,2015 Peugeot 2008 1.6 e-HDI 92 HP Allure CMP,2015,BLANCO NACARADO,Metropolitana de Santiago
91, km/l,5,,automático,Bencina,,,,Santiago,$ 10.500.000,2017 Peugeot 2008 1.2 Puretech 110 HP Auto Allur,2017,PLATA,Metropolitana de Santiago
92,25 km/l,5,75.000 kms,manual,Diesel (petróleo),4,5,1.6,Santiago,$ 9.900.000,2014 Peugeot 2008 1.6 e-HDI 92 HP Allure,2014,Gris artense,Metropolitana de Santiago
93,25 km/l,5,61.079 kms,manual,Diesel (petróleo),4,5,1.6,Santiago,$ 8.990.000,2014 Peugeot 2008 1.6 e-HDI 92 HP Allure,2014,BLANCO,Metropolitana de Santiago
94, km/l,5,32.431 kms,automático,Bencina,,,,Chicureo,$ 10.290.000,2016 Peugeot 2008 1.2 Puretech 110 Auto HP Allure,2016,Gris Artense,Metropolitana de Santiago
95, km/l,5,7.300 kms,manual,Diesel (petróleo),,,,Santiago,$ 11.490.000,2018 Peugeot 2008 1.6 BlueHDI 100 HP Manual Active Pack,2018,blanco,Metropolitana de Santiago
96, km/l,5,17.300 kms,manual,Diesel (petróleo),,,,Santiago,$ 10.990.000,2017 Peugeot 2008 1.6 BlueHDI 100 HP Manual Acti,2017,Blanco Nacarado,Metropolitana de Santiago
97, km/l,5,20.000 kms,manual,Diesel (petróleo),,,,Buin,$ 11.500.000,2017 Peugeot 2008 1.6 BlueHDI 100 HP Manual Allure,2017,,Metropolitana de Santiago
98,"26,3 km/l",5,46.000 kms,manual,Diesel (petróleo),4,5,1.6,Valdivia,$ 10.300.000,2014 Peugeot 2008 1.6 e-HDI 92 HP Allure CMP,2014,,Los Ríos
99, km/l,5,5.700 kms,manual,Diesel (petróleo),,,,Puerto Montt,$ 12.700.000,2018 Peugeot 2008 1.6 BlueHDI 100 HP Manual Allure,2018,BLANCO NACARADO,Los Lagos
100, km/l,5,28.000 kms,manual,Bencina,,,,Santiago,$ 12.690.000,2017 Peugeot 2008 1.6 BlueHDI 100 HP M,2017,Gris Grafito,Metropolitana de Santiago
101, km/l,5,30.632 kms,automático,Bencina,,,,Santiago,$ 10.390.000,2016 Peugeot 2008 1.2 Puretech 110 Auto HP Allur,2016,GRIS PLATINUM,Metropolitana de Santiago
102, km/l,5,10.800 kms,manual,Diesel (petróleo),,,,Santiago,$ 12.100.000,2018 Peugeot 2008 ALLURE ,2018,BLANCO,Metropolitana de Santiago
103, km/l,5,59.000 kms,automático,Diesel (petróleo),,,,Santiago,$ 11.000.000,2015 Peugeot 2008 allure,2015,Blanco,Metropolitana de Santiago
104, km/l,5,1 kms,automático,Bencina,,,,Santiago,$ 12.290.000,2017 Peugeot 2008 1.2 Puretech 110 HP Auto Allur,2017,ROJO,Metropolitana de Santiago
105, km/l,5,16.000 kms,automático,Bencina,,,,Santiago,$ 12.450.000,2017 Peugeot 2008 1.2 Puretech 110 HP Auto Allur,2017,Negro,Metropolitana de Santiago
106,25 km/l,5,76.000 kms,manual,Diesel (petróleo),4,5,1.6,Colina,$ 9.490.000,2014 Peugeot 2008 1.6 e-HDI 92 HP Allure,2014,BLANCO,Metropolitana de Santiago
107, km/l,5,17.000 kms,automático,Bencina,,,,Santiago,$ 11.980.000,2017 Peugeot 2008 1.2 Puretech 110 HP Auto Allur,2017,GRIS ARTENSE,Metropolitana de Santiago
108, km/l,5,29.000 kms,manual,Diesel (petróleo),,,,Santiago,$ 10.890.000,2017 Peugeot 2008 1.6 BlueHDI 100 HP Manual Active Pack,2017,Blanco Nacarado,Metropolitana de Santiago
109, km/l,5,24.000 kms,manual,Bencina,,,,Santiago,$ 8.500.000,2015 Peugeot 2008 VTi 82 HP Active,2015,Negro ,Metropolitana de Santiago
